collection,field_group,authority,sync_direction,data_classification,retention,ai_eligibility,visibility,transform,risk,source_citation
executives,"Name, email, phone, location, website, tagline, industry, candidate description, profile media",DIRECTUS_AUTHORITATIVE,Inbound,Candidate self-authored professional data,Unknown_pending_policy,CONDITIONAL,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:181
executives,"Experience, education, skills, languages, board service, preferences",DIRECTUS_AUTHORITATIVE,Inbound,Candidate self-authored professional data,Unknown_pending_policy,CONDITIONAL,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:182
executives,"Relationship owner/strength, internal source notes, off-limits, conflicts, internal assessment, candidacy, client feedback, placement",TWENTY_AUTHORITATIVE,None_outbound,Search-firm internal relationship data,Unknown_pending_policy,CONDITIONAL,INTERNAL_ONLY,Not_specified,Standard,uploaded-artifact-1.md:183
executives,"Birthdate, gender, voluntary demographics",DIRECTUS_AUTHORITATIVE,NO_SYNC_SELECTION,Restricted voluntary demographics,Unknown_pending_policy,FALSE,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:184
executives,"Subscription tier, premium status, plan level, usage limits, Stripe/payment data",DIRECTUS_AUTHORITATIVE,NOT_ALLOWED_TO_SYNC,Commercial/subscription data,Unknown_pending_policy,FALSE,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:185
executives,"Authentication fields (password, token, TFA secret, OTP)",DIRECTUS_AUTHORITATIVE,NOT_ALLOWED_TO_SYNC,Authentication/security secret,Unknown_pending_policy,FALSE,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:186
executives,ats_uuid,TWENTY_AUTHORITATIVE,Outbound_verified,Integration identifier,Unknown_pending_policy,CONDITIONAL,INTERNAL_ONLY,Not_specified,Standard,uploaded-artifact-1.md:24-26
companies,Public brand/name/logo/description/website/industry/headquarters,SPLIT_BY_FIELD,Bidirectional,Public company data,Unknown_pending_policy,CONDITIONAL,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:192
companies,"Client stakeholders, account strategy, relationship owner, BD history, fees, contracts, off-limits, conflicts, satisfaction",TWENTY_AUTHORITATIVE,None_outbound,Client-confidential assignment data,Unknown_pending_policy,CONDITIONAL,INTERNAL_ONLY,Not_specified,Standard,uploaded-artifact-1.md:193
companies,Founder/product/report content,DIRECTUS_AUTHORITATIVE,Optional_inbound,Public company data,Unknown_pending_policy,CONDITIONAL,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:194
companies,Freshsales/source IDs,DIRECTUS_AUTHORITATIVE,REFERENCE_ONLY_NO_REPLICATION,Integration identifier,Unknown_pending_policy,CONDITIONAL,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:195
companies,ats_uuid,TWENTY_AUTHORITATIVE,Outbound_verified,Integration identifier,Unknown_pending_policy,CONDITIONAL,INTERNAL_ONLY,Not_specified,Standard,uploaded-artifact-1.md:24-26
opportunities,"Published role title, description, requirements, public-facing position data",TWENTY_AUTHORITATIVE,Outbound_publish,Public opportunity data,Unknown_pending_policy,CONDITIONAL,INTERNAL_ONLY,Not_specified,Standard,uploaded-artifact-1.md:138
opportunities,ats_uuid,TWENTY_AUTHORITATIVE,Outbound_verified,Integration identifier,Unknown_pending_policy,CONDITIONAL,INTERNAL_ONLY,Not_specified,Standard,uploaded-artifact-1.md:24-26
opportunities,Existing Directus records during migration,DIRECTUS_AUTHORITATIVE,Controlled_migration,Migration state,Unknown_pending_policy,CONDITIONAL,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:138
applications,"Candidate application, answers, attached files, submitted/withdrawn state",DIRECTUS_AUTHORITATIVE,Inbound,Candidate self-authored professional data,Unknown_pending_policy,CONDITIONAL,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:210
applications,"Internal candidacy stage, research status, relationship ownership, consultant notes, client feedback",TWENTY_AUTHORITATIVE,None_outbound,Candidate-confidential candidacy data,Unknown_pending_policy,CONDITIONAL,INTERNAL_ONLY,Not_specified,Standard,uploaded-artifact-1.md:211
applications,Candidate-visible status/action request,TWENTY_AUTHORITATIVE,Outbound_narrow_projection,Candidate-visible candidacy data,Unknown_pending_policy,CONDITIONAL,INTERNAL_ONLY,Not_specified,Standard,uploaded-artifact-1.md:212
applications,Stage history,APPEND_ONLY_BOTH_WITH_SHARED_IDEMPOTENCY,Initial_inbound_future_outbound,Audit/retention data,Unknown_pending_policy,FALSE,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:213
scheduled_interviews,Candidate availability and confirmation,DIRECTUS_AUTHORITATIVE,Inbound,Candidate self-authored professional data,Unknown_pending_policy,CONDITIONAL,CANDIDATE_OR_INTERNAL,Not_specified,Standard,uploaded-artifact-1.md:219
scheduled_interviews,"Internal interview plan, participants, scorecards, feedback due, confidentiality",TWENTY_AUTHORITATIVE,None_outbound,Client-confidential assignment data,Unknown_pending_policy,CONDITIONAL,INTERNAL_ONLY,Not_specified,Standard,uploaded-artifact-1.md:220
