customer_content_id,customer_content_name,customer_content_status,customer_content_type,customer_name,partner_name,approval_date,interview_url,note_count,note_titles,all_note_bodies_markdown
091c06d1-9a6c-47a3-a415-ca58da0ce094,Hoss case study,Under customer/partner review,Customer quote | Case study,Hoss,Bertrams Lukstins,,https://app.fireflies.ai/view/Bertrams-Lukstins-Stephanie-Joly::01KJYXY9S7FS1YR5QCPFFXASH7,1,Case study - “production-grade foundations” angle,"# Case study - “production-grade foundations” angle

# How Hoss Built a Lead Marketplace on Top of Twenty

Hoss runs a lead generation business with a specific model: they source businesses looking to sell, and sell those leads to acquisition agents and buyers. To make that work, they needed two things to talk to each other seamlessly: an internal system to manage and qualify leads, and a customer-facing portal where buyers could browse, purchase, and unlock them.

The challenge wasn't finding a CRM. It was finding something flexible enough to act as the backbone of an entire product.

>

*""I needed something I could actually build on top of, not just use. Twenty gave us the foundation to ship a real product without starting from scratch.""* Matt, Founder, Hoss

## Building a Product, Not Just Configuring a Tool

When Matt came to Bertrams at Wintactix, the brief was clear: build an MVP of a lead marketplace, fast. Leads would live in Twenty as custom objects. When a lead was marked ready for sale, it would instantly appear on the portal, blinded, with key details hidden. Buyers could sign up, purchase credits, and unlock the full lead details. Every signup, every credit purchase, every lead transaction would be recorded back in Twenty in real time.

The data model was shaped entirely around Hoss's business logic. Because Twenty's custom objects and API are fully open, Bertrams could wire up exactly what the business needed. No compromise, no patch. Just a clean solution built on solid foundations.

## Everything Connected, Nothing Hidden

The sync between the portal and Twenty runs on webhooks and is instant. When a lead sells out, it disappears from the portal immediately. When someone makes a purchase, it's logged. Notes written in Twenty flow directly into the portal as free-form text. The entire flow, from lead intake to buyer introduction, is handled through Twenty's workflow engine and custom API integrations.

The whole project came in under 100 hours. That includes the portal, the integrations, the data model, and the automation layer.

>

*""The flexibility is just amazing. Literally, there's nothing you cannot do. You can create objects, access everything through the API, pull notes and send them to the portal. Try doing that in HubSpot. No way. It's the true ability to build exactly what's actually needed.""* Bertrams, Founder, Wintactix

## What's Next

The portal launched in March 2026. After years of navigating scattered spreadsheets, the next few weeks will tell how much of a difference a fully streamlined operation actually makes. For Hoss, Twenty isn't a CRM they adapted to. It's infrastructure they built on.
"
0e68bb84-52ec-4c58-9259-cce0c0bd8369,W3 Villa partner quote,Approved,Customer quote | Partner quote,w3villa.com,Ishank Gupta,2026-03-09,https://docs.google.com/document/d/1buCqlLL06PWHS6vB_Hls__LiQyE05k-0OGqwTY069F4/edit?tab=t.0#heading=h.50cwfancnegg,2,Partner page | Partner Quote,"# Partner page

W3 villa logo + description in the google doc attached


---

# Partner Quote

*""Twenty gave us the flexibility to model the entire interview lifecycle as custom objects and workflows. We could build something genuinely complex without fighting the platform to do it.""* Piyush Khandelwal (<https://www.linkedin.com/in/piyush-khandelwal-5a9b9718/>) Director at W3villa Technologies, Partner
"
10e74834-fade-4f28-98ef-5a7e2bcfbc67,NetZero case study,Approved,Case study,NetZero,,2026-03-23,https://app.fireflies.ai/view/Olivier-St-phanie-Twenty-case-study::01KKGJQ4DT1SWSSZB40E179SH3,2,NetZero case study V1 | NetZero case study Approved by Customer,"# NetZero case study V1

# A CRM That Grows With You

Netzero works with the agro-industry in Brazil, serving clients that range from multinationals to smallholder farmers with half a hectare. They sell carbon credits, agricultural products, and industrial franchises, three completely different product lines, across multiple countries and company sizes. When Olivier Reinaud, the CEO, started looking at CRMs in late 2024, he was not looking for the most feature-rich platform. He was looking for the right foundation.

>

*""Twenty delivers on what CRMs should have always been: fairly priced software with a fully modular and customizable model, a clean and modern UI, granular permissions, automations, enterprise features. A compelling solution with high potential to rightfully disrupt the CRM market.""* Olivier Reinaud, CEO, Netzero

## Flexibility for a Business That Does Not Fit a Template

What convinced Olivier was the potential of the platform and where it was heading. He could start simple, with just the basics his business needed at the time, without being forced to deal with features he had no use for yet. And he could see that when his needs grew, Twenty could grow with him: deeper automations, more complex configurations, custom data models, all available when needed, none of it in the way when not.

With Twenty, when a new need appears, he can address it himself, no dev required, without opening a support ticket.

>

*""The flexibility is really what made the difference. Our needs evolve very fast. I discover a new need and in two clicks I can address it. That is a real advantage when you are moving quickly.""* Olivier Reinaud, CEO, Netzero

## A Basic Setup Today, With Room to Grow

Olivier is honest that Netzero's current usage of Twenty is still relatively simple. They have customized their data model and run some basic operations, but they have not yet gone deep on workflows or integrations, partly because early limitations led him to pause on that front.

What he has planned is significant though. Netzero has a data lake, website forms, and multiple internal systems that could all connect to Twenty. The pipes are there. The next step is building the automations that tie them together.

That is exactly what he is waiting for: AI-assisted workflow creation, where instead of building complex logic from scratch, he can describe what he needs and iterate from there. For a founder who manages the CRM himself, that changes what is realistically possible.

## The Bet Is Paying Off

Netzero still runs a second CRM in parallel for their WhatsApp-heavy operations with farmers in Brazil, a gap they expect to close as the ecosystem around Twenty grows. But for their structured, multinational pipeline, Twenty is the system they chose and the one they are building on.

The early bet on the architecture is holding.


---

# NetZero case study Approved by Customer

# A CRM That Grows With You

NetZero works with the agro-industry, serving clients that range from multinationals to smallholder farmers. They sell carbon credits, agricultural products, and franchised industrial systems: three completely different product lines, across multiple countries and company sizes. When Olivier Reinaud, co-founder of NetZero, started looking at CRMs in late 2024, he was not looking for the most feature-rich platform. He was looking for the right foundation.

> *""Twenty delivers on what CRMs should have always been: fairly priced software with a fully modular and customizable model, a clean and modern UI, granular permissions, automations, enterprise features. A compelling solution with high potential to rightfully disrupt the CRM market.""* Olivier Reinaud, co-founder of NetZero

***

## Flexibility for a Business That Does Not Fit a Template

What convinced Olivier was the flexibility of the platform and where it was heading. While his initial needs were basic record-keeping, he still needed from the start a custom data model with granular permissions to properly manage the wide range of activities of NetZero. He also needed a system that could adapt quickly given his company's fast-iteration approach.

With Twenty, when a new need appears, he can address it himself, no dev required, without opening a support ticket.

> *""The flexibility is really what made the difference. Our needs evolve very fast. I discover a new need and in two clicks I can address it. That is a real advantage when you are moving quickly.""* Olivier Reinaud, co-founder of NetZero

***

## Gradually moving from a simple to advanced setup

Olivier recognizes that NetZero's current usage of Twenty is still relatively simple. They have not yet gone deep on workflows or integrations as he first wanted to get the foundations right.

What he has planned is significant though. NetZero has a data lake, online forms, and multiple internal systems that he wants to connect to Twenty. The pipes are there. The next step is building the automations that tie them together.

What's coming in April 2026 is exactly what he was waiting for: AI-assisted workflow creation, where instead of building complex logic from scratch, he can describe what he needs and iterate from there. For a founder who manages the CRM himself, that changes what is realistically possible.

***

## The Bet Is Paying Off

While NetZero still runs a second CRM in parallel for their WhatsApp-heavy operations with farmers in Brazil, they expect to migrate all of it to Twenty as the features and ecosystem grow. But, already now, their structured, multinational pipeline is powered by Twenty.

The early bet on the architecture is holding, and the upcoming AI features are expected to make it even more relevant.
"
11d9ec73-ba6f-4fa0-8cfa-c5056e243e9d,9Dots - App partner quote,Approved,Partner quote,,9 Dots,2026-03-23,,1,App partner quote,"# App partner quote

*""Twenty Apps opens the door to building products, not just implementations. For example, we're developing a WhatsApp Business integration that any Twenty’s client could get. That's a recurring revenue stream we wouldn't have if we were just configuring someone else's platform.""* Mike Babiy, Founder, Nine Dots Ventures.""
"
12cd9eb5-fdba-407b-ab36-59998350c43b,9Dots case study,Approved,Case study,,9 Dots,2026-03-23,https://twenty.com/case-studies/9-dots-story,1,Case Study,"# Case Study

## Live version

<https://twenty.com/case-studies/9-dots-story>

## Approved new version

# A Real Estate Agency Running on WhatsApp Built a CRM Around It, Not Against It

Homeseller is a high-volume real estate agency in Singapore, founded by one of the country's top-performing property agents. Their entire operation runs on WhatsApp. No email, no calendars. Just group chats, thousands of them, with clients, agents, and leads all mixed together.

That works, until you try to understand the business underneath it. Which deals are stuck? Where are leads coming from? What is the close rate? With spreadsheets and a legacy custom CRM that couldn't keep up, those questions were nearly impossible to answer.

Mike and Azmat from Nine Dots stepped in to fix that, not by changing how Homeseller works, but by building a system that finally fit around it.

>

*""Twenty lets us build a CRM around the business and not the business around the CRM.""* Mike Babiy, Founder, Nine Dots Ventures

## The CRM as a Control Hub

Nine Dots rebuilt Homeseller's operations on Twenty, with a custom data model shaped entirely around their sales flow. Because Twenty is open and everything is accessible via API, they could connect it to whatever the business actually needed: n8n for automated workflows (in-app workflows were not available at that time), Grafana for live dashboards fed directly from Twenty, and a custom AI layer to parse an&#x64;**&#x20;extract structured insights from 2,000+ WhatsApp messages a day**.

Homeseller kept their habits. WhatsApp stayed WhatsApp. **What changed is that everything flowing through those conversations now lands in a structured system, tracked, classified, and visible in real time.**

>

*""Twenty is the heart of the system. Everything branches from it.""* Azmat Parveen, Nine Dots Ventures

## **The Result**

150 hours per month saved in manual operations. Real-time metrics for the business owner. Growth readiness without adding operational headcount. And a team that can finally answer the questions that used to take days to piece together.

The full rollout happened in July 2025, setting a foundation that kept delivering. Since then, Nine Dots built a Smart Assistant on top of the system, nudging agents with tasks, reminders, and on-demand market analysis. Some agents never open Twenty directly, yet they're fully powered by it, outperforming peers who rely on manual processes alone. Every efficiency gain feeds the same goal: by Q1 2026, Homeseller had recorded its best sales quarter ever.
"
2ff2f91d-24c6-4348-a0c8-95c7a893f127,9Dots Implementation Partner QuoteS,Approved,Partner quote,,9 Dots,2026-03-22,,1,Partner Quotes,"# Partner Quotes

*Twenty lets us build a CRM around the business and not the business around the CRM.""* Mike Babiy, Founder, Nine Dots Ventures

Also from Mike

""A perfect CRM doesn't exi…"" - these were our thoughts when we discovered Twenty over a year ago, and it's still the exact sentiment working with it daily.

Most CRMs are opinionated - they force you to do things *their* way. Twenty is different. It's a versatile toolbox that lets you build anything, and it's fiercely opinionated about *that* principle. For example, to integrate emails and messengers, the team invests time in building an abstraction layer rather than a baked-in messaging integration.

The team is deliberate about building a tool that outlasts your next reorg, not just shipping features.
"
2ffa4e30-8e66-472a-a45e-ce1d4edc459a,W3 Villa case study - production grade foundations,Approved,Case study,w3villa.com,Ishank Gupta,2026-03-09,https://docs.google.com/document/d/1buCqlLL06PWHS6vB_Hls__LiQyE05k-0OGqwTY069F4/edit?tab=t.0#heading=h.50cwfancnegg,2,case study “production-grade foundations” angle | Partner page,"# case study “production-grade foundations” angle

# When Your CRM Is the Product: How W3villa Shipped an AI Interview Platform on Twenty

Running mock interview programs for hundreds of students sounds straightforward. In practice, it is anything but. Universities and training institutes trying to prepare students for placements at top companies face the same wall: registrations entered by hand, interview links sent one by one, faculty reviewing every session without any scoring or classification system to help. At any real scale, it breaks.

W3villa Technologies decided to solve this properly. Not with a workaround, but with an actual product.

>

*""We didn't want to patch over the problem. We wanted to build something institutions could rely on at scale, and that meant starting from a foundation solid enough to support the full complexity of what we had in mind.""* Amrendra Pratap Singh, VP of Engineering at W3villa Technologies, (<https://www.linkedin.com/in/iamamrendra/>)

## Focus on the Use Case, Not the Plumbing

W3villa built W3Grads ([w3grads.com](http://w3grads.com)), an AI-powered mock interview platform for universities and training institutes, using Twenty as its operational backbone.

The key decision was not to build everything from scratch. By using Twenty, W3villa could focus entirely on the logic specific to their use case, while relying on an existing, production-grade framework for the parts that would have taken months to rebuild: the data model, permissions, authentication, and workflow engine. That's the foundation they built on top of.

The product logic they added was entirely their own. When a student registers via QR code at a campus event, the system takes over. A plan is assigned automatically. An interview session is generated and a link sent instantly. The AI conducts the interview, scores the candidate, and classifies the result. Faculty get a clear picture of where each student stands without reviewing a single session manually.

Building and iterating on these workflows was also significantly faster using AI, allowing the team to move from idea to working automation without the usual back and forth.

## A Platform Ready to Grow

Because the foundation is solid, W3Grads is already architected for what comes next. A payment layer for future paid interview plans is built in. The platform is designed to scale across institutions nationwide without any structural changes.

>

*""Twenty gave us the flexibility to model the entire interview lifecycle as custom objects and workflows. We could build something genuinely complex without fighting the platform to do it.""* Piyush Khandelwal (<https://www.linkedin.com/in/piyush-khandelwal-5a9b9718/>) Director at W3villa Technologies, Partner

## The Result

Programs that previously required heavy manual coordination now run end-to-end without operational overhead. Institutions get a scalable, intelligent system. Students get better, faster preparation for the interviews that matter. And W3villa delivered a product that institutions can build a revenue model around.

Zero manual work. Full automation. Built entirely on Twenty.


---

# Partner page

W3 villa logo + description in the google doc attached
"
379153ba-c318-4ab1-91a0-bc01e123405c,Flycoder partner quote,Approved,Partner quote,,Joseph Chiang,2025-09-01,,1,partner quote,"# partner quote

*""My client didn't want to learn someone else's system. With Twenty, I could build exactly around how they already worked and just make it smoother. That's a very different conversation to have with a customer.""* Joseph Chiang, CRM Engineer

### [Flycoder](https://linkedin.com/in/josephj6802/)

Full-stack development services from concept to deployment, including cloud infrastructure and automated workflows

Expert in web development, Android mobile app development, system integrations, and CRM solutions
"
3870690a-fd83-4fa0-92e3-ffd5b487da35,Otiima case study,Under customer/partner review,Customer quote | Case study,OTIIMA,,,https://app.fireflies.ai/view/Hugo-Santos-Stephanie-Joly::01KKBPJ0FF5DFMSGXFF2SB5VPQ?channelSource=all,1,Case Study - production grade quality angle,"# Case Study - production grade quality angle

**production-grade quality**: the story is about a company that needed a flexible, customizable data model as a foundation, and Twenty delivered that where their ERP and the alternatives couldn't.

# When Salesforce Feels Like a Room You Won't Use

OTIIMA is a Portuguese manufacturer of award-winning minimalist window systems, sold and installed across the globe. Their CRM was embedded in their Sage X3 ERP, and it wasn't giving them the data model they needed. Custom fields were limited, the system couldn't reflect how their business actually tracked leads, clients, partners, and projects, and the API endpoints they needed to extract data and plug it into Power BI weren't available. They evaluated Salesforce as the obvious alternative, but the price tag and feature bloat went well beyond what they needed, without solving the core problem.

>

*""With Salesforce, we would have ended up with visual junk in front of our team. We decided to go with Twenty because we have the liberty to build exactly what we actually need.""* Hugo Santos, Head of Systems, OTIIMA

## A Data Model Built Around Construction Projects, Not Generic Sales

The key decision was shaping Twenty to match how OTIIMA actually works, rather than bending their process to fit a standard CRM pipeline.

Leads at OTIIMA are not people. They are projects, often identified before there is even a contact name attached. A lead becomes an opportunity only when there is a real chance of closing and a budget to work with. The data model in Twenty was built to reflect exactly that distinction.

The team also needed to model the full network of entities around each project: the client, the commercial partner, the architect, the constructor, the consultant. Each can play different roles across different opportunities, sometimes more than one role on the same project. Twenty's flexible object model gave OTIIMA the structure to capture that complexity without compromise.

When the team was onboarded, adoption was smooth. The data was already there, Outlook was connected, and the interface was clean enough that the commercial team actually enjoyed using it.

## Simplicity for the Users, Flexibility for the Builder

**What the sales team values most in Twenty is its simple interface**. Early on, leadership pushed for more fields and more data capture. The team pushed back. Fields got removed. The lesson was the same one Twenty is built around: a CRM that sellers actually use beats one that captures everything and gets ignored.

**What Hugo values as the person building and maintaining the system is the opposite end of that: the ability to go as deep as needed.** Custom objects, API access, webhook-driven automations, business intelligence fed from Twenty's data. None of it required workarounds.

## What Is Next

OTIIMA is now focused on stabilizing their setup before the next phase of development. The goal for 2026 is to build out the automation layer to give more time to the commercial team to sell rather than fill in fields. The architecture is in place. The next step is making it run on its own.
"
493a051e-50f1-42fc-ace2-707c1dff0b95,Marketing Automate Case Study for multi-venue event company,,,,marketingautomate.pro,,https://marketingautomate.pro/projects/spreadsheets-to-a-twenty-crm-a-multi-venue-case-study,1,Context,"# Context

It is published on their own website, we would need to ask them if we want to use it one day

Note: this ""sells"" Twenty as the back end of their solution, hence why I did not push for this among our first case studies
"
